Name                                                   Stmts   Miss  Cover
tests/test_planning_blocks_ui.py                          18     18     0%
tests/test_pr_changes_runner.py                           75     75     0%
tests/test_production_parity.py                           67     67     0%
tests/test_prompts.py                                    164    164     0%
tests/test_qwen_matrix.py                                 77     77     0%
tests/test_react_v2_tdd_critical_issues.py               163    163     0%
tests/test_real_json_bug_reproduction.py                  29     29     0%
tests/test_red_green_json_fix.py                         109    109     0%
tests/test_robust_json_parser.py                         157    157     0%
tests/test_scene_numbering.py                             33     33     0%
tests/test_settings_api.py                                46     46     0%
tests/test_squash_merge_detection.py                      77     77     0%
tests/test_state_update_integration.py                   133    133     0%
tests/test_state_updates_json_parsing.py                  44     44     0%
tests/test_structured_fields_storage.py                   54     54     0%
tests/test_structured_fields_utils.py                    135    135     0%
tests/test_structured_generation.py                       85     85     0%
tests/test_structured_response_extraction.py              59     59     0%
tests/test_subprocess_security.py                         68     68     0%
tests/test_syntax.py                                      35     35     0%
tests/test_syntax_comprehensive.py                        97     97     0%
tests/test_think_block_protocol.py                       151    151     0%
tests/test_time_consolidation.py                          52     52     0%
tests/test_time_pressure.py                               78     78     0%
tests/test_token_utils.py                                286    286     0%
tests/test_type_safety_foundation.py                      99     99     0%
tests/test_unknown_entity_filtering.py                    33     33     0%
tests/test_unknown_entity_fix_summary.py                  42     42     0%
tests/test_user_scenario_fix_validation.py                41     41     0%
tests/test_v1_vs_v2_campaign_comparison.py               427    427     0%
tests/test_v2_dashboard_authenticated_user.py             30     30     0%
tests/test_v2_frontend_red_green.py                      164    164     0%
tests/test_v2_frontend_verification.py                   262    262     0%
tests/test_validation_comparison.py                       43     43     0%
tests/test_world_loader.py                               202    202     0%
tests/test_world_loader_e2e.py                           123    123     0%
tests/test_world_logic.py                                292    292     0%
token_utils.py                                            17     17     0%
unified_api_examples.py                                    7      7     0%
world_loader.py                                           34     34     0%
world_logic.py                                           559    559     0%
--------------------------------------------------------------------------
TOTAL                                                  23585  23585     0%
