"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"06/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$526.10"
"06/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$493.04"
"06/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","384","","",""
"06/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","178","","",""
"06/16/2026","Sell","SNAP","SNAP INC CLASS A","384","$5.4614","$0.11","$2097.07"
"06/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","193","","",""
"06/16/2026","Sell","SNAP","SNAP INC CLASS A","178","$5.4614","$0.05","$972.08"
"06/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","265","","",""
"06/16/2026","Sell","SNAP","SNAP INC CLASS A","193","$5.4614","$0.06","$1053.99"
"06/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","179","","",""
"06/16/2026","Sell","SNAP","SNAP INC CLASS A","265","$5.4614","$0.08","$1447.19"
"06/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","136","","",""
"06/16/2026","Sell","SNAP","SNAP INC CLASS A","179","$5.4614","$0.05","$977.54"
"06/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","135","","",""
"06/16/2026","Sell","SNAP","SNAP INC CLASS A","136","$5.4614","$0.05","$742.70"
"06/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","97","","",""
"06/16/2026","Sell","SNAP","SNAP INC CLASS A","135","$5.4614","$0.05","$737.24"
"06/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","126","","",""
"06/16/2026","Sell","SNAP","SNAP INC CLASS A","97","$5.4614","$0.03","$529.73"
"06/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","91","","",""
"06/16/2026","Sell","SNAP","SNAP INC CLASS A","126","$5.4614","$0.03","$688.11"
"06/16/2026","Sell","SNAP","SNAP INC CLASS A","91","$5.4614","$0.03","$496.96"
"06/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","239","","",""
"06/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","279","","",""
"06/16/2026","Sell","SNAP","SNAP INC CLASS A","239","$5.4614","$0.08","$1305.19"
"06/16/2026","Sell","SNAP","SNAP INC CLASS A","279","$5.4614","$0.08","$1523.65"
"05/28/2026","Credit Interest","","SCHWAB1 INT 04/29-05/27","","","","$0.03"
"05/19/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","334","","",""
"05/19/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","243","","",""
"05/19/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","226","","",""
"05/19/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","165","","",""
"05/19/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","153","","",""
"05/19/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","151","","",""
"05/19/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","116","","",""
"05/19/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","115","","",""
"05/19/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","108","","",""
"05/19/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","82","","",""
"05/19/2026","Stock Plan Activity","SNAP","SNAP INC CLASS A","77","","",""
"05/19/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$2033.43"
"05/19/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1470.32"
"05/19/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1424.09"
"05/19/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1038.40"
"05/19/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$964.22"
"05/19/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$952.36"
"05/19/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$729.84"
"05/19/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$726.88"
"05/19/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$679.41"
"05/19/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$519.20"
"05/19/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$486.56"
"05/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","262","","",""
"05/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","363","","",""
"05/18/2026","Sell","SNAP","SNAP INC CLASS CLASS A","262","$5.6177","$0.08","$1471.76"
"05/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","170","","",""
"05/18/2026","Sell","SNAP","SNAP INC CLASS CLASS A","363","$5.6177","$0.11","$2039.12"
"05/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","185","","",""
"05/18/2026","Sell","SNAP","SNAP INC CLASS CLASS A","170","$5.6177","$0.05","$954.96"
"05/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","254","","",""
"05/18/2026","Sell","SNAP","SNAP INC CLASS CLASS A","185","$5.6177","$0.06","$1039.21"
"05/18/2026","Sell","SNAP","SNAP INC CLASS CLASS A","254","$5.6177","$0.08","$1426.82"
"05/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","121","","",""
"05/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","87","","",""
"05/18/2026","Sell","SNAP","SNAP INC CLASS CLASS A","121","$5.6177","$0.03","$679.71"
"05/18/2026","Sell","SNAP","SNAP INC CLASS CLASS A","87","$5.6177","$0.03","$488.71"
"05/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","172","","",""
"05/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","130","","",""
"05/18/2026","Sell","SNAP","SNAP INC CLASS CLASS A","172","$5.6177","$0.05","$966.19"
"05/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","130","","",""
"05/18/2026","Sell","SNAP","SNAP INC CLASS CLASS A","130","$5.6177","$0.05","$730.25"
"05/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","93","","",""
"05/18/2026","Sell","SNAP","SNAP INC CLASS CLASS A","130","$5.6177","$0.05","$730.25"
"05/18/2026","Sell","SNAP","SNAP INC CLASS CLASS A","93","$5.6177","$0.03","$522.42"
"05/18/2026","MoneyLink Transfer","","Tfr JPMORGAN CHASE BAN, JEFFREY LEE-CHAN","","","","-$50114.00"
"05/14/2026","Sell","SNAP","SNAP INC CLASS CLASS A","9,091.4509","$5.4997","$2.79","$49997.21"
"04/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","321","","",""
"04/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","233","","",""
"04/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","226","","",""
"04/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","164","","",""
"04/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","152","","",""
"04/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","148","","",""
"04/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","116","","",""
"04/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","115","","",""
"04/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","107","","",""
"04/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","82","","",""
"04/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","77","","",""
"04/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$2255.36"
"04/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1639.68"
"04/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1532.52"
"04/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1120.78"
"04/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1043.43"
"04/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1032.31"
"04/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$786.97"
"04/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$780.60"
"04/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$726.43"
"04/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$557.57"
"04/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$522.52"
"04/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","172","","",""
"04/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","131","","",""
"04/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","172","$6.0263","$0.05","$1036.47"
"04/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","130","","",""
"04/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","131","$6.0263","$0.05","$789.40"
"04/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","121","","",""
"04/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","130","$6.0263","$0.05","$783.37"
"04/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","87","","",""
"04/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","121","$6.0263","$0.04","$729.14"
"04/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","87","$6.0263","$0.03","$524.26"
"04/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","93","","",""
"04/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","93","$6.0263","$0.03","$560.42"
"04/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","273","","",""
"04/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","375","","",""
"04/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","273","$6.0263","$0.08","$1645.10"
"04/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","174","","",""
"04/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","375","$6.0263","$0.12","$2259.74"
"04/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","186","","",""
"04/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","174","$6.0263","$0.05","$1048.53"
"04/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","255","","",""
"04/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","186","$6.0263","$0.06","$1120.83"
"04/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","255","$6.0263","$0.08","$1536.63"
"03/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","290","","",""
"03/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","210","","",""
"03/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","200","","",""
"03/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","145","","",""
"03/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","135","","",""
"03/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","133","","",""
"03/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","103","","",""
"03/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","102","","",""
"03/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","95","","",""
"03/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","72","","",""
"03/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","67","","",""
"03/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1873.63"
"03/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1357.50"
"03/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1290.31"
"03/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$940.84"
"03/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$873.64"
"03/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$862.88"
"03/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$663.96"
"03/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$658.59"
"03/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$612.90"
"03/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$467.72"
"03/17/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$438.16"
"03/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","143","","",""
"03/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","102","","",""
"03/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","143","$4.6119","$0.03","$659.47"
"03/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","133","","",""
"03/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","102","$4.6119","$0.02","$470.39"
"03/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","96","","",""
"03/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","133","$4.6119","$0.03","$613.35"
"03/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","96","$4.6119","$0.02","$442.72"
"03/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","295","","",""
"03/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","407","","",""
"03/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","188","","",""
"03/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","295","$4.6119","$0.06","$1360.45"
"03/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","407","$4.6119","$0.08","$1876.96"
"03/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","205","","",""
"03/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","188","$4.6119","$0.04","$867.00"
"03/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","280","","",""
"03/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","205","$4.6119","$0.04","$945.40"
"03/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","190","","",""
"03/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","280","$4.6119","$0.05","$1291.28"
"03/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","144","","",""
"03/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","190","$4.6119","$0.04","$876.22"
"03/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","144","$4.6119","$0.03","$664.08"
"03/02/2026","Journal","","JOURNAL FRM ...579","","","","$10.80"
"02/26/2026","Credit Interest","","SCHWAB1 INT 01/29-02/25","","","","$0.20"
"02/18/2026","MoneyLink Transfer","","Tfr JPMORGAN CHASE BAN, JEFFREY LEE-CHAN","","","","-$40600.00"
"02/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","276","","",""
"02/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","191","","",""
"02/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","139","","",""
"02/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","129","","",""
"02/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","127","","",""
"02/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","98","","",""
"02/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","97","","",""
"02/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","90","","",""
"02/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","69","","",""
"02/18/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","65","","",""
"02/18/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1981.70"
"02/18/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1369.55"
"02/18/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$996.56"
"02/18/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$925.37"
"02/18/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$916.83"
"02/18/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$703.28"
"02/18/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$697.59"
"02/18/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$649.18"
"02/18/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$498.28"
"02/18/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$466.95"
"02/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","420","","",""
"02/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","195","","",""
"02/17/2026","Sell","SNAP","SNAP INC CLASS CLASS A","420","$4.7232","$0.08","$1983.66"
"02/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","211","","",""
"02/17/2026","Sell","SNAP","SNAP INC CLASS CLASS A","195","$4.7232","$0.04","$920.98"
"02/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","290","","",""
"02/17/2026","Sell","SNAP","SNAP INC CLASS CLASS A","211","$4.7232","$0.04","$996.56"
"02/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","196","","",""
"02/17/2026","Sell","SNAP","SNAP INC CLASS CLASS A","290","$4.7232","$0.06","$1369.67"
"02/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","149","","",""
"02/17/2026","Sell","SNAP","SNAP INC CLASS CLASS A","196","$4.7232","$0.04","$925.71"
"02/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","148","","",""
"02/17/2026","Sell","SNAP","SNAP INC CLASS CLASS A","149","$4.7232","$0.03","$703.73"
"02/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","106","","",""
"02/17/2026","Sell","SNAP","SNAP INC CLASS CLASS A","148","$4.7232","$0.03","$699.00"
"02/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","138","","",""
"02/17/2026","Sell","SNAP","SNAP INC CLASS CLASS A","106","$4.7232","$0.02","$500.64"
"02/17/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","99","","",""
"02/17/2026","Sell","SNAP","SNAP INC CLASS CLASS A","138","$4.7232","$0.03","$651.77"
"02/17/2026","Sell","SNAP","SNAP INC CLASS CLASS A","99","$4.7232","$0.02","$467.58"
"02/03/2026","Journal","","JOURNAL FRM ...579","","","","$200.00"
"01/29/2026","Journal","","JOURNAL FRM ...579","","","","$40291.84"
"01/20/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","278","","",""
"01/20/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","192","","",""
"01/20/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","139","","",""
"01/20/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","129","","",""
"01/20/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","128","","",""
"01/20/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","98","","",""
"01/20/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","97","","",""
"01/20/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","91","","",""
"01/20/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","69","","",""
"01/20/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","65","","",""
"01/20/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$3183.87"
"01/20/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$2200.35"
"01/20/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1601.08"
"01/20/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1482.14"
"01/20/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1468.43"
"01/20/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1129.91"
"01/20/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1120.75"
"01/20/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$1042.98"
"01/20/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$800.54"
"01/20/2026","Journal","","Gencash transaction for SPS RS Lapse Tool","","","","-$750.22"
"01/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","418","","",""
"01/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","193","","",""
"01/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","418","$7.6185","$0.08","$3184.45"
"01/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","211","","",""
"01/16/2026","Sell","SNAP","SNAP INC CLASS CLASS A","193","$7.6185","$0.04","$1470.33"
"01/16/2026","Stock Plan Activity","SNAP","SNAP INC CLASS CLASS A","289","","",""
